date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:14	15292/15292	---MC-	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202024%2010:03:55%20GMT	https://cdn-cms-s.f-static.net/manager/websites/site123_website/files/logos/brand_files_2020/Logo/Horizontal/PNG/Horizontal_Black.png?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/manager/websites/site123_website/files/logos/brand_files_2020/Logo/Horizontal/PNG/Horizontal_Blackb781.png	(from https://65c7cb4baa83d.site123.me/)
18:26:15	60468/60468	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Feb%202024%2021:26:20%20GMT	https://65c7cb4baa83d.site123.me/65c7cb4baa83d.site123.me	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/65c7cb4baa83d.site123.me/65c7cb4baa83d.site123.c.delayed	(from https://65c7cb4baa83d.site123.me/)
18:26:15	145443/145443	---MCZ	200	added ('OK')	application/javascript	etag:%2223823-5eb9969cb2d40-gzip%22	https://cdn-cms-s.f-static.net/versions/2/js/minimize_p1.js?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/versions/2/js/minimize_p1b781.js	(from https://65c7cb4baa83d.site123.me/)
18:26:15	142739/142739	---MCZ	200	added ('OK')	application/javascript	etag:%2222d93-6102b09c7ef80-gzip%22	https://cdn-cms-s.f-static.net/versions/2/js/minimize_p2.js?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/versions/2/js/minimize_p2b781.js	(from https://65c7cb4baa83d.site123.me/)
18:26:16	221383/221383	---MCZ	200	added ('OK')	application/javascript	etag:%22360c7-5fceb7f21f800-gzip%22	https://cdn-cms-s.f-static.net/versions/2/js/minimize_p3.js?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/versions/2/js/minimize_p3b781.js	(from https://65c7cb4baa83d.site123.me/)
18:26:16	176904/176904	---MCZ	200	added ('OK')	application/javascript	etag:%222b308-60267bcf00ec0-gzip%22	https://cdn-cms-s.f-static.net/versions/2/js/minimize_p4.js?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/versions/2/js/minimize_p4b781.js	(from https://65c7cb4baa83d.site123.me/)
18:26:16	147207/147207	---MCZ	200	added ('OK')	application/javascript	etag:%2223f07-6102b09c7ef80-gzip%22	https://cdn-cms-s.f-static.net/versions/2/js/minimize_scripts.js?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/versions/2/js/minimize_scriptsb781.js	(from https://65c7cb4baa83d.site123.me/)
18:26:17	5048/5048	---MCZ	200	added ('OK')	application/javascript	etag:%2213b8-61000c6e1dfc0-gzip%22	https://cdn-cms-s.f-static.net/versions/2/wizard/statistics/js/generateStats-min.js?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/versions/2/wizard/statistics/js/generateStats-minb781.js	(from https://65c7cb4baa83d.site123.me/)
18:26:17	4178/4178	---M--	200	added ('OK')	image/gif	date:Wed,%2003%20May%202023%2010:42:01%20GMT	https://cdn-cms-s.f-static.net/files/vendor/slick-1.8.1/slick/ajax-loader.gif	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/files/vendor/slick-1.8.1/slick/ajax-loader.gif	(from https://cdn-cms-s.f-static.net/versions/2/css/minimize_main.css?v=y83564)
18:26:17	3230/3230	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Feb%202024%2021:26:22%20GMT	https://cdn-cms-s.f-static.net/versions/2/css/owl.video.play.png	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/versions/2/css/owl.video.play.png	(from https://cdn-cms-s.f-static.net/versions/2/css/minimize_main.css?v=y83564)
18:26:18	398663/398663	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Feb%202024%2002:50:39%20GMT	https://static1.s123-cdn-static-a.com/ready_uploads/media/26424/2000_5cdd2aeec5281.jpg	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/static1.s123-cdn-static-a.com/ready_uploads/media/26424/2000_5cdd2aeec5281.jpg	(from https://cdn-cms-s.f-static.net/versions/2/css/websiteCSS.css?w=&orderScreen=&websiteID=8936276&onlyContent=&tranW=&v=css_y209_47322568)
